,EbN0 (in dBs),BER
0,1,0.086011
1,2,0.052191
2,3,0.026779
3,4,0.011348
4,5,0.003683
5,6,0.000883
6,7,0.00014
7,8,1.2e-05
8,9,0.0
9,10,0.0
10,11,0.0
