,EbN0 (in dBs),BER
0,1,0.065711
1,2,0.036573
2,3,0.016816
3,4,0.006118
4,5,0.00177
5,6,0.000285
6,7,3.3e-05
7,8,5e-06
8,9,0.0
9,10,0.0
10,11,0.0
