,EbN0 (in dBs),BER
0,1,0.072279
1,2,0.04958
2,3,0.0303
3,4,0.017593
4,5,0.009341
5,6,0.004592
6,7,0.001462
7,8,0.000496
8,9,0.000187
9,10,7e-06
10,11,0.0
11,12,0.0
12,13,0.0
13,14,0.0
14,15,0.0
15,16,0.0
16,17,0.0
17,18,0.0
18,19,0.0
