,EbN0 (in dBs),BER
0,1,0.334067
1,2,0.329072
2,3,0.324467
3,4,0.319112
4,5,0.315552
5,6,0.311794
6,7,0.307035
7,8,0.304186
8,9,0.301375
9,10,0.298346
10,11,0.295808
11,12,0.294061
12,13,0.291861
13,14,0.29063
14,15,0.290105
15,16,0.290071
16,17,0.290477
17,18,0.290757
18,19,0.292473
