,EbN0 (in dBs),BER
0,1,0.071374
1,2,0.049596
2,3,0.031651
3,4,0.019215
4,5,0.009142
5,6,0.004473
6,7,0.00152
7,8,0.0005
8,9,0.000103
9,10,1.1e-05
10,11,2e-06
11,12,0.0
12,13,0.0
13,14,0.0
14,15,0.0
15,16,0.0
16,17,0.0
17,18,0.0
18,19,0.0
