,EbN0 (in dBs),BER
0,1,0.3937
1,2,0.389
2,3,0.3877
3,4,0.4032
4,5,0.4155
5,6,0.4287
6,7,0.4381
7,8,0.4443
8,9,0.4506
9,10,0.4536
10,11,0.4611
11,12,0.4619
12,13,0.4665
13,14,0.4698
14,15,0.4724
15,16,0.4741
16,17,0.4757
17,18,0.4762
18,19,0.4771
